artista,cancion,duracion_ms,explicito,anio,popularidad,bailable,energia,clave,volumen,modo,locuacidad,acusticidad,instrumentalidad,vivisidad,valencia emocional,tempo,genero_principal_Dance/Electronic,genero_principal_Folk/Acoustic,genero_principal_R&B,genero_principal_World/Traditional,genero_principal_country,genero_principal_easy listening,genero_principal_hip hop,genero_principal_latin,genero_principal_metal,genero_principal_pop,genero_principal_rock,genero_principal_set(),fecha_lanzamiento,Followers,dia_semana,TOP50_2019-2020,inflation,unemployment,gdp_per_capita,gross_savings,crecimiento_renta_neta,consumption_expenditure
John Newman,Love Me Again,239894,0,2013,74,0.495,0.894,2,-4.814,0,0.0441,0.00453,0.000596,0.103,0.213,126.03,0,0,0,0,0,0,0,0,0,0,0,1,2013-01-01,744296,Tuesday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Britney Spears,Work B**ch,247853,1,2013,0,0.63,0.816,9,-6.535,1,0.15,0.124,0.00111,0.0616,0.85,128.012,0,0,0,0,0,0,0,0,0,1,0,0,2021-03-13,15137519,Saturday,no,1.464832656,7.375,53410,18.64,1.41,82.46
The Neighbourhood,Sweater Weather,240400,0,2013,89,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,0,0,0,0,0,0,0,0,0,0,1,0,2013-04-19,17737036,Friday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Sebastian Ingrosso,Reload - Radio Edit,221272,0,2013,68,0.485,0.724,9,-4.633,0,0.0521,0.0736,0.0,0.0631,0.433,128.045,0,0,0,0,0,0,0,0,0,1,0,0,2013-01-01,2461806,Tuesday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Capital Cities,Safe And Sound,192693,0,2013,0,0.652,0.783,0,-4.829,1,0.0309,0.000189,0.0173,0.0889,0.836,117.952,0,0,0,0,0,0,0,0,0,1,0,0,2023-12-29,920605,Friday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Demi Lovato,Heart Attack,210840,0,2013,79,0.504,0.785,8,-4.802,1,0.104,0.0738,0.0,0.239,0.502,173.968,0,0,0,0,0,0,0,0,0,1,0,0,2013-01-01,26663597,Tuesday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Arctic Monkeys,Why'd You Only Call Me When You're High?,161123,0,2013,84,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,0,0,0,0,0,0,0,0,0,0,1,0,2013-09-09,26383564,Monday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Justin Bieber,Beauty And A Beat,227986,0,2012,73,0.602,0.843,0,-4.831,1,0.0593,0.000688,5.27e-05,0.0682,0.526,128.003,0,0,0,0,0,0,0,0,0,1,0,0,2012-06-15,77112818,Friday,no,2.069337265,8.069,51784,18.13,3.85,83.44
Eminem,The Monster,250188,1,2013,75,0.781,0.853,1,-3.68,0,0.0715,0.0525,0.0,0.12,0.624,110.049,0,0,0,0,0,0,1,0,0,0,0,0,2013-11-05,89808468,Tuesday,sí,1.464832656,7.375,53410,18.64,1.41,82.46
Pitbull,Don't Stop the Party (feat. TJR),206120,0,2012,64,0.722,0.958,4,-3.617,1,0.0912,0.00726,0.0,0.375,0.952,127.008,0,0,0,0,0,0,1,0,0,0,0,0,2012-09-25,10731957,Tuesday,no,2.069337265,8.069,51784,18.13,3.85,83.44
Selena Gomez,Come & Get It,231986,0,2013,69,0.546,0.787,7,-4.1,0,0.0517,0.0101,0.00021,0.0809,0.573,79.979,0,0,0,0,0,0,0,0,0,1,0,0,2013-01-01,50648388,Tuesday,no,1.464832656,7.375,53410,18.64,1.41,82.46
P!nk,True Love (feat. Lily Allen),230733,1,2012,71,0.457,0.823,9,-4.76,1,0.311,0.00144,0.0,0.108,0.578,192.205,0,0,0,0,0,0,0,0,0,1,0,0,2012-09-18,17056628,Tuesday,no,2.069337265,8.069,51784,18.13,3.85,83.44
Disclosure,White Noise,277687,0,2013,54,0.665,0.844,10,-6.164,0,0.0501,0.00963,0.000215,0.311,0.902,119.978,0,0,0,0,0,0,0,0,0,1,0,0,2016-12-04,2227710,Sunday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Flo Rida,I Cry,223800,0,2012,60,0.693,0.822,4,-5.441,0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,0,0,0,0,0,0,1,0,0,0,0,0,2012-06-22,8619692,Friday,no,2.069337265,8.069,51784,18.13,3.85,83.44
Kanye West,Black Skinhead,188013,1,2013,0,0.578,0.825,1,-6.107,1,0.322,0.000986,0.0,0.176,0.283,130.089,0,0,0,0,0,0,1,0,0,0,0,0,2013-06-18,26980472,Tuesday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Lana Del Rey,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,214912,0,2013,72,0.572,0.81,1,-5.791,0,0.0558,0.0157,6.53e-06,0.13,0.11,126.052,0,0,0,0,0,0,0,0,0,1,0,0,2013-02-01,39435404,Friday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Eminem,Berzerk,238746,1,2013,66,0.739,0.872,11,-4.059,0,0.333,0.0217,0.0,0.26,0.684,95.084,0,0,0,0,0,0,1,0,0,0,0,0,2013-11-05,89808468,Tuesday,sí,1.464832656,7.375,53410,18.64,1.41,82.46
Icona Pop,I Love It (feat. Charli XCX),157152,1,2013,68,0.711,0.906,8,-2.671,1,0.0284,0.00952,1.64e-05,0.153,0.824,125.916,0,0,0,0,0,0,0,0,0,1,0,0,2013-08-27,710046,Tuesday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),186826,0,2013,71,0.558,0.924,9,-4.341,0,0.064,0.0271,3.32e-06,0.537,0.567,151.99,0,0,0,0,0,0,0,0,0,0,1,0,2013-04-12,10837713,Friday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Lorde,Team,193058,0,2013,0,0.691,0.582,6,-7.444,1,0.0939,0.162,0.0,0.247,0.427,100.05,0,0,0,0,0,0,0,0,0,1,0,0,2013-09-27,10036581,Friday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Avicii,I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,208316,0,2012,68,0.509,0.79,6,-3.782,0,0.0374,0.332,6.67e-05,0.316,0.638,127.946,0,0,0,0,0,0,0,0,0,1,0,0,2012-01-01,23008755,Sunday,no,2.069337265,8.069,51784,18.13,3.85,83.44
