artista,cancion,duracion_ms,explicito,anio,popularidad,bailable,energia,clave,volumen,modo,locuacidad,acusticidad,instrumentalidad,vivisidad,valencia emocional,tempo,genero_principal_Dance/Electronic,genero_principal_Folk/Acoustic,genero_principal_R&B,genero_principal_World/Traditional,genero_principal_country,genero_principal_easy listening,genero_principal_hip hop,genero_principal_latin,genero_principal_metal,genero_principal_pop,genero_principal_rock,genero_principal_set(),fecha_lanzamiento,Followers,dia_semana,TOP50_2019-2020,inflation,unemployment,gdp_per_capita,gross_savings,crecimiento_renta_neta,consumption_expenditure
Sia,Elastic Heart,257200,0,2014,70,0.421,0.791,9,-4.998,1,0.0496,0.0117,1.48e-05,0.146,0.499,130.075,0,0,0,0,0,0,0,0,0,1,0,0,2015-05-04,28518731,Monday,no,1.622222977,6.168,55304,19.64,3.35,81.99
One Direction,Story of My Life,245493,0,2013,81,0.6,0.663,3,-5.802,1,0.0477,0.225,0.0,0.119,0.286,121.07,0,0,0,0,0,0,0,0,0,1,0,0,2013-11-25,36302530,Monday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Alex & Sierra,Little Do You Know,185200,0,2014,75,0.5,0.292,0,-8.554,1,0.0323,0.746,0.0,0.188,0.37,145.879,0,0,0,0,0,0,0,0,0,1,0,0,2014-10-06,1165664,Monday,no,1.622222977,6.168,55304,19.64,3.35,81.99
Omarion,Post to Be (feat. Chris Brown & Jhene Aiko),226580,1,2014,55,0.733,0.676,10,-5.655,0,0.0432,0.0697,0.0,0.208,0.701,97.448,0,0,0,0,0,0,1,0,0,0,0,0,2014-12-02,2928349,Tuesday,no,1.622222977,6.168,55304,19.64,3.35,81.99
Echosmith,Cool Kids,237626,0,2013,71,0.719,0.671,8,-6.279,1,0.0336,0.0372,8.21e-06,0.12,0.786,130.027,0,0,0,0,0,0,0,0,0,1,0,0,2013-10-04,604578,Friday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Natalie La Rose,Somebody,189906,0,2014,66,0.83,0.52,0,-8.714,1,0.0376,0.000792,1.25e-05,0.0656,0.735,104.99,0,0,0,0,0,0,0,0,0,0,0,1,2011-01-01,110988,Saturday,no,1.622222977,6.168,55304,19.64,3.35,81.99
Vance Joy,Riptide,204280,0,2014,80,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,0,0,0,0,0,0,0,0,0,0,1,0,2014-09-08,3148384,Monday,no,1.622222977,6.168,55304,19.64,3.35,81.99
Beyoncé,Drunk in Love (feat. Jay-Z),323480,1,2014,70,0.589,0.621,5,-6.902,0,0.0468,0.00969,0.00104,0.181,0.401,140.03,0,0,0,0,0,0,0,0,0,1,0,0,2014-11-24,38499927,Monday,no,1.622222977,6.168,55304,19.64,3.35,81.99
Maroon 5,Sugar,235493,1,2014,0,0.744,0.783,1,-7.077,1,0.0337,0.0553,0.0,0.086,0.885,120.042,0,0,0,0,0,0,0,0,0,1,0,0,2020-08-25,42516029,Tuesday,no,1.622222977,6.168,55304,19.64,3.35,81.99
Ella Henderson,Ghost,213213,0,2014,63,0.68,0.84,9,-3.823,1,0.0414,0.0457,8.66e-06,0.143,0.468,104.975,0,0,0,0,0,0,0,0,0,1,0,0,2016-07-15,1629853,Friday,no,1.622222977,6.168,55304,19.64,3.35,81.99
Ed Sheeran,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",300840,0,2013,71,0.581,0.0549,10,-20.514,0,0.0397,0.559,0.0,0.0718,0.234,152.037,0,0,0,0,0,0,0,0,0,1,0,0,2020-01-06,115837890,Monday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Chris Brown,New Flame (feat. Usher & Rick Ross),244226,1,2014,67,0.702,0.629,1,-4.292,1,0.041,0.0506,0.0,0.0963,0.446,141.967,0,0,0,0,0,0,1,0,0,0,0,0,2014-09-16,23191433,Tuesday,no,1.622222977,6.168,55304,19.64,3.35,81.99
Sheppard,Geronimo,218227,0,2014,0,0.707,0.771,7,-6.275,1,0.0783,0.434,0.0013,0.115,0.437,142.016,0,0,0,0,0,0,0,0,0,1,0,0,2015-03-10,306020,Tuesday,no,1.622222977,6.168,55304,19.64,3.35,81.99
Olly Murs,Wrapped Up (feat. Travie McCoy),185640,0,2014,0,0.787,0.848,1,-4.696,1,0.0549,0.0915,0.0,0.15,0.947,121.989,0,0,0,0,0,0,0,0,0,1,0,0,2014-11-24,3201550,Monday,no,1.622222977,6.168,55304,19.64,3.35,81.99
Sam Smith,Money On My Mind,192670,0,2014,62,0.688,0.841,2,-5.217,1,0.179,0.204,0.000295,0.229,0.743,133.912,0,0,0,0,0,0,0,0,0,1,0,0,2024-08-30,24151772,Friday,no,1.622222977,6.168,55304,19.64,3.35,81.99
Jason Derulo,Trumpets,217306,0,2013,53,0.627,0.703,0,-4.884,1,0.236,0.563,0.0,0.0962,0.64,81.897,0,0,0,0,0,0,1,0,0,0,0,0,2013-09-10,12166576,Tuesday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Nicki Minaj,Bed Of Lies,269946,1,2014,53,0.716,0.67,11,-5.779,1,0.194,0.251,0.0,0.109,0.124,86.01,0,0,0,0,0,0,1,0,0,0,0,0,2014-12-15,32227243,Monday,no,1.622222977,6.168,55304,19.64,3.35,81.99
Nick Jonas,Jealous - Remix,222213,1,2014,0,0.685,0.709,11,-3.578,0,0.0748,0.0132,0.0,0.452,0.504,93.047,0,0,0,0,0,0,0,0,0,1,0,0,2015-11-20,10024506,Friday,no,1.622222977,6.168,55304,19.64,3.35,81.99
Mark Ronson,Uptown Funk (feat. Bruno Mars),269666,1,2015,82,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,0,0,0,0,0,0,0,0,0,1,0,0,2015-01-12,1108780,Monday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Ed Sheeran,Thinking out Loud,281560,0,2014,81,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,0,0,0,0,0,0,0,0,0,1,0,0,2014-06-21,115837890,Saturday,no,1.622222977,6.168,55304,19.64,3.35,81.99
Wiz Khalifa,See You Again (feat. Charlie Puth),229525,0,2015,81,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,0,0,0,0,0,0,1,0,0,0,0,0,2015-03-17,11188943,Tuesday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Justin Bieber,What Do You Mean?,205680,0,2015,77,0.845,0.567,5,-8.118,0,0.0956,0.59,0.00142,0.0811,0.793,125.02,0,0,0,0,0,0,0,0,0,1,0,0,2015-11-13,77112818,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Major Lazer,Lean On (feat. MØ & DJ Snake),176561,0,2015,73,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,0,0,0,0,0,0,1,0,0,0,0,0,2015-07-10,6180863,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
The Weeknd,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",252226,0,2014,76,0.659,0.381,2,-5.922,0,0.0304,0.385,0.0,0.0972,0.426,119.844,0,0,0,0,0,0,0,0,0,1,0,0,2014-12-23,90473861,Tuesday,sí,1.622222977,6.168,55304,19.64,3.35,81.99
Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",252534,0,2015,78,0.262,0.606,8,-6.646,1,0.0484,0.247,0.0,0.125,0.275,189.857,0,0,0,0,0,0,0,0,0,1,0,0,2015-11-06,12527164,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Calvin Harris,Outside (feat. Ellie Goulding),227266,0,2014,78,0.646,0.823,2,-4.123,0,0.0394,0.213,0.0,0.322,0.418,128.035,0,0,0,0,0,0,1,0,0,0,0,0,2014-10-31,22833621,Friday,no,1.622222977,6.168,55304,19.64,3.35,81.99
David Guetta,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",192560,0,2014,75,0.596,0.73,9,-4.091,1,0.151,0.24,0.0,0.325,0.525,85.979,0,0,0,0,0,0,1,0,0,0,0,0,2014-11-10,26131627,Monday,sí,1.622222977,6.168,55304,19.64,3.35,81.99
Demi Lovato,Cool for the Summer,214746,1,2015,0,0.586,0.613,5,-5.593,0,0.0386,0.00441,0.000183,0.0853,0.319,114.101,0,0,0,0,0,0,0,0,0,1,0,0,2015-01-01,26663597,Thursday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Taylor Swift,Blank Space,231826,0,2014,82,0.76,0.703,5,-5.412,1,0.054,0.103,0.0,0.0913,0.57,95.997,0,0,0,0,0,0,0,0,0,1,0,0,2014-10-27,120903886,Monday,sí,1.622222977,6.168,55304,19.64,3.35,81.99
The Weeknd,The Hills,242253,1,2015,84,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,0,0,0,0,0,0,0,0,0,1,0,0,2015-08-28,90473861,Friday,sí,0.118627136,5.28,57040,19.75,3.54,81.45
The Neighbourhood,Daddy Issues,260173,0,2015,85,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,0,0,0,0,0,0,0,0,0,0,1,0,2015-10-30,17737036,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Deorro,Five More Hours,211975,0,2015,66,0.699,0.883,5,-3.226,0,0.219,0.0288,0.0,0.817,0.499,127.961,0,0,0,0,0,0,0,0,0,1,0,0,2017-03-31,1258941,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Avicii,The Nights,176658,0,2014,85,0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983,0,0,0,0,0,0,0,0,0,1,0,0,2014-01-01,23008755,Wednesday,no,1.622222977,6.168,55304,19.64,3.35,81.99
Adam Lambert,Ghost Town,208330,1,2015,46,0.703,0.736,4,-5.709,0,0.046,0.186,1.92e-05,0.174,0.274,119.955,0,0,0,0,0,0,0,0,0,1,0,0,2024-04-05,1622105,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Rae Sremmurd,No Type,200080,1,2015,71,0.891,0.486,6,-7.803,1,0.159,0.0158,3.78e-06,0.0925,0.239,125.01,0,0,0,0,0,0,1,0,0,0,0,0,2015-01-06,7457738,Tuesday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Taylor Swift,Bad Blood,200106,0,2015,70,0.654,0.655,11,-7.388,0,0.106,0.0294,0.0,0.139,0.221,170.16,0,0,0,0,0,0,0,0,0,1,0,0,2014-10-27,120903886,Monday,sí,0.118627136,5.28,57040,19.75,3.54,81.45
Flo Rida,GDFR (feat. Sage the Gemini & Lookas),190185,0,2015,49,0.657,0.827,5,-4.036,1,0.0734,0.000704,0.00534,0.065,0.69,145.889,0,0,0,0,0,0,1,0,0,0,0,0,2015-04-07,8619692,Tuesday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Robin Schulz,Sugar (feat. Francesco Yates),219043,0,2015,76,0.636,0.815,5,-5.098,0,0.0581,0.0185,0.0,0.163,0.636,123.063,0,0,0,0,0,0,0,0,0,1,0,0,2015-09-25,3111894,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Calvin Harris,How Deep Is Your Love,212640,0,2015,76,0.738,0.868,11,-4.373,0,0.0731,0.0392,0.00169,0.388,0.336,122.003,0,0,0,0,0,0,1,0,0,0,0,0,1979-01-01,22833621,Monday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Philip George,Wish You Were Mine - Radio Edit,177560,0,2014,65,0.654,0.832,7,-4.164,0,0.0293,0.0126,0.0901,0.102,0.407,123.002,0,0,0,0,0,0,0,0,0,1,0,0,2015-07-10,6552,Friday,no,1.622222977,6.168,55304,19.64,3.35,81.99
Fall Out Boy,Centuries,228360,0,2015,80,0.393,0.858,4,-2.868,0,0.0729,0.00359,0.0,0.102,0.56,176.042,0,0,0,0,0,0,0,0,0,0,1,0,2015-01-16,10837713,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Rob $tone,Chill Bill (feat. J. Davi$ & Spooks),177184,1,2016,76,0.886,0.427,6,-10.028,1,0.145,0.0312,0.00099,0.0906,0.23,108.034,0,0,0,0,0,0,1,0,0,0,0,0,2016-06-17,268731,Friday,no,1.261583206,4.869,58207,18.67,1.06,81.79
Lost Frequencies,Are You With Me - Radio Edit,138842,0,2014,33,0.776,0.574,5,-9.882,0,0.0317,0.466,7.83e-05,0.131,0.412,121.03,0,0,0,0,0,0,0,0,0,1,0,0,2016-10-21,2891377,Friday,sí,1.622222977,6.168,55304,19.64,3.35,81.99
Twenty One Pilots,Stressed Out,202333,0,2015,83,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,0,0,0,0,0,0,0,0,0,0,1,0,2015-05-15,24626457,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Fifth Harmony,Worth It (feat. Kid Ink),224573,0,2015,73,0.884,0.765,8,-3.865,1,0.0882,0.063,7.04e-06,0.118,0.594,99.987,0,0,0,0,0,0,0,0,0,1,0,0,2015-01-30,16197064,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
KALEO,Way down We Go,219560,0,2015,63,0.59,0.578,10,-5.798,0,0.0528,0.612,0.000162,0.0837,0.264,81.663,0,0,0,0,0,0,0,0,0,0,1,0,2016-06-10,1838066,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Sam Smith,Like I Can,167065,0,2014,79,0.656,0.627,7,-6.627,0,0.0379,0.343,2.17e-05,0.124,0.481,99.933,0,0,0,0,0,0,0,0,0,1,0,0,2014-05-26,24151772,Monday,no,1.622222977,6.168,55304,19.64,3.35,81.99
Major Lazer,Light It Up (feat. Nyla & Fuse ODG) - Remix,166138,0,2015,49,0.746,0.877,9,-3.782,0,0.0666,0.0375,0.000833,0.233,0.751,107.985,0,0,0,0,0,0,1,0,0,0,0,0,2016-02-15,6180863,Monday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Martin Solveig,Intoxicated - New Radio Mix,159693,0,2015,48,0.8,0.677,0,-4.023,1,0.0393,0.00563,0.00409,0.0838,0.547,125.004,0,0,0,0,0,0,0,0,0,1,0,0,2024-08-16,1177974,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Avicii,Waiting For Love,230613,0,2015,79,0.579,0.736,6,-3.863,0,0.0527,0.31,0.0,0.198,0.613,127.999,0,0,0,0,0,0,0,0,0,1,0,0,2015-10-02,23008755,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Felix Jaehn,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),186146,0,2018,72,0.778,0.566,2,-6.959,0,0.0311,0.672,0.000197,0.0698,0.479,117.971,0,0,0,0,0,0,1,0,0,0,0,0,2018-02-16,1281884,Friday,no,2.442583297,3.896,63201,19.34,2.91,81.3
Taylor Swift,Wildest Dreams,220440,0,2014,78,0.553,0.664,8,-7.417,1,0.0741,0.0709,0.0056,0.106,0.467,140.06,0,0,0,0,0,0,0,0,0,1,0,0,2014-10-27,120903886,Monday,sí,1.622222977,6.168,55304,19.64,3.35,81.99
The Weeknd,In The Night,235653,1,2015,0,0.48,0.682,7,-4.94,1,0.13,0.0696,0.0,0.0463,0.506,167.939,0,0,0,0,0,0,0,0,0,1,0,0,2015-08-28,90473861,Friday,sí,0.118627136,5.28,57040,19.75,3.54,81.45
Pitbull,Time of Our Lives,229360,1,2014,80,0.721,0.802,1,-5.797,1,0.0583,0.0921,0.0,0.694,0.724,124.022,0,0,0,0,0,0,1,0,0,0,0,0,2014-11-21,10731957,Friday,no,1.622222977,6.168,55304,19.64,3.35,81.99
Galantis,Runaway (U & I),227073,0,2015,74,0.506,0.805,1,-4.119,1,0.0469,0.00711,0.00193,0.0856,0.383,126.008,0,0,0,0,0,0,0,0,0,1,0,0,2015-06-05,3375326,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Rihanna,Bitch Better Have My Money,219305,1,2015,73,0.781,0.728,1,-4.981,1,0.0621,0.0509,1.94e-06,0.257,0.395,102.99,0,0,0,0,0,0,1,0,0,0,0,0,2015-03-26,62453726,Thursday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Zara Larsson,Lush Life,202213,0,2015,0,0.658,0.741,7,-2.86,0,0.0536,0.141,0.0,0.189,0.789,98.024,0,0,0,0,0,0,0,0,0,1,0,0,2017-03-17,10530039,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
One Direction,Drag Me Down,192120,0,2015,79,0.73,0.703,0,-5.672,0,0.0369,0.109,0.0,0.0657,0.595,138.113,0,0,0,0,0,0,0,0,0,1,0,0,2015-11-13,36302530,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Travis Scott,Antidote,262693,1,2015,73,0.713,0.526,1,-5.046,1,0.032,0.00767,0.000148,0.124,0.131,131.05,0,0,0,0,0,0,1,0,0,0,0,0,2015-09-04,32595488,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Years & Years,King,215360,0,2015,0,0.559,0.848,4,-4.125,0,0.0388,0.0665,0.0,0.382,0.466,119.977,0,0,0,0,0,0,0,0,0,1,0,0,2012-07-17,1969503,Tuesday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Demi Lovato,Confident,205745,1,2015,64,0.594,0.749,3,-6.251,1,0.0677,0.00188,0.000139,0.0869,0.344,130.064,0,0,0,0,0,0,0,0,0,1,0,0,2015-01-01,26663597,Thursday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Lemaitre,Closer,270589,0,2017,59,0.583,0.785,2,-3.991,0,0.0337,0.0012,0.0127,0.124,0.355,91.977,0,0,0,0,0,0,0,0,0,1,0,0,2016-07-29,178852,Friday,no,2.130110004,4.355,60322,19.19,2.71,81.61
Selena Gomez,Same Old Love,229080,0,2015,69,0.672,0.593,11,-4.01,0,0.0304,0.0223,0.0,0.214,0.438,98.02,0,0,0,0,0,0,0,0,0,1,0,0,2015-10-09,50648388,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Pia Mia,Do It Again,207746,1,2015,72,0.712,0.564,8,-6.527,1,0.047,0.0266,0.0,0.0874,0.411,95.95,0,0,0,0,0,0,0,0,0,1,0,0,2017-03-17,1946990,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Flo Rida,My House,192190,0,2015,76,0.688,0.702,7,-4.792,0,0.0499,0.0215,0.0,0.128,0.74,94.006,0,0,0,0,0,0,1,0,0,0,0,0,2015-04-07,8619692,Tuesday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Silentó,Watch Me (Whip / Nae Nae),185131,0,2015,0,0.819,0.768,8,-8.522,1,0.134,0.234,0.0,0.334,0.964,139.982,0,0,0,0,0,0,1,0,0,0,0,0,2015-05-04,222365,Monday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Chris Brown,Ayo,225226,1,2015,71,0.823,0.563,6,-5.095,1,0.0443,0.0399,0.0,0.0851,0.682,98.031,0,0,0,0,0,0,1,0,0,0,0,0,2015-02-24,23191433,Tuesday,no,0.118627136,5.28,57040,19.75,3.54,81.45
The Strumbellas,Spirits,203653,0,2016,71,0.556,0.658,0,-6.075,1,0.0265,0.164,0.0,0.113,0.787,80.529,0,0,0,0,0,0,0,0,0,0,1,0,2016-04-22,279633,Friday,no,1.261583206,4.869,58207,18.67,1.06,81.79
Fetty Wap,Trap Queen,222093,1,2015,68,0.746,0.873,7,-3.803,1,0.128,0.0244,0.0,0.354,0.817,148.075,0,0,0,0,0,0,1,0,0,0,0,0,2015-09-25,4685142,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Beyoncé,7/11,213506,0,2014,69,0.747,0.705,9,-5.137,0,0.126,0.0128,0.0,0.126,0.56,136.024,0,0,0,0,0,0,0,0,0,1,0,0,2014-11-24,38499927,Monday,no,1.622222977,6.168,55304,19.64,3.35,81.99
Lana Del Rey,High By The Beach,257573,1,2015,67,0.536,0.486,11,-11.067,0,0.0346,0.244,0.00788,0.12,0.0968,131.988,0,0,0,0,0,0,0,0,0,1,0,0,2015-09-18,39435404,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Zara Larsson,Never Forget You,213427,0,2017,73,0.583,0.732,11,-5.728,0,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,0,0,0,0,0,0,0,0,0,1,0,0,2017-03-17,10530039,Friday,no,2.130110004,4.355,60322,19.19,2.71,81.61
Jeremih,oui,238320,0,2015,77,0.418,0.724,5,-3.724,1,0.0964,0.213,0.0,0.112,0.604,78.521,0,0,0,0,0,0,1,0,0,0,0,0,2015-12-04,6655961,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Drake,Hotline Bling,267066,0,2016,77,0.891,0.628,2,-7.863,1,0.0551,0.00258,0.00019,0.0504,0.552,134.966,0,0,0,0,0,0,1,0,0,0,0,0,2016-05-06,91634236,Friday,no,1.261583206,4.869,58207,18.67,1.06,81.79
Selena Gomez,Kill Em With Kindness,217906,0,2015,64,0.757,0.884,10,-5.488,0,0.0404,0.00795,5.87e-05,0.0973,0.398,120.012,0,0,0,0,0,0,0,0,0,1,0,0,2015-10-09,50648388,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Birdy,Let It All Go,280757,0,2015,68,0.383,0.43,10,-8.644,1,0.0302,0.817,1.04e-06,0.0869,0.174,107.005,0,0,0,0,0,0,0,0,0,1,0,0,2015-09-18,3691913,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Fetty Wap,679 (feat. Remy Boyz),196693,1,2015,74,0.618,0.717,7,-5.738,1,0.318,0.00256,0.0,0.625,0.603,190.05,0,0,0,0,0,0,1,0,0,0,0,0,2015-06-29,4685142,Monday,no,0.118627136,5.28,57040,19.75,3.54,81.45
The Weeknd,Can't Feel My Face,213520,0,2015,79,0.705,0.769,9,-5.526,0,0.0425,0.113,0.0,0.105,0.583,107.949,0,0,0,0,0,0,0,0,0,1,0,0,2015-08-28,90473861,Friday,sí,0.118627136,5.28,57040,19.75,3.54,81.45
SAYGRACE,You Don't Own Me (feat. G-Eazy),199314,0,2015,55,0.336,0.664,7,-5.68,1,0.102,0.166,1.31e-06,0.0575,0.294,186.394,0,0,0,0,0,0,0,0,0,1,0,0,2016-07-01,201404,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
X Ambassadors,Renegades,195200,0,2015,75,0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052,0,0,0,0,0,0,1,0,0,0,0,0,2015-06-30,3024582,Tuesday,no,0.118627136,5.28,57040,19.75,3.54,81.45
R. City,Locked Away (feat. Adam Levine),227480,0,2015,77,0.509,0.671,1,-5.709,1,0.0678,0.304,0.0,0.0452,0.55,118.413,0,0,0,0,0,0,0,0,0,1,0,0,2015-10-09,164757,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Kygo,Stole the Show,223186,0,2016,74,0.64,0.635,8,-7.565,0,0.226,0.271,0.0,0.319,0.475,100.034,0,0,0,0,0,0,0,0,0,1,0,0,2016-05-13,8432584,Friday,no,1.261583206,4.869,58207,18.67,1.06,81.79
Tame Impala,The Less I Know The Better,216320,1,2015,83,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,0,0,0,0,0,0,0,0,1,0,0,0,2015-07-17,8098232,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Selena Gomez,Good For You,221560,1,2015,0,0.6,0.676,5,-6.447,0,0.0652,0.154,0.0,0.0741,0.217,88.928,0,0,0,0,0,0,0,0,0,1,0,0,2015-10-09,50648388,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Fetty Wap,My Way (feat. Monty),213053,1,2015,55,0.748,0.741,6,-3.103,1,0.0531,0.00419,0.0,0.147,0.537,128.077,0,0,0,0,0,0,1,0,0,0,0,0,2015-09-25,4685142,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Hozier,Take Me To Church,241688,0,2014,81,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,0,1,0,0,0,0,0,0,0,0,0,0,2014-09-19,7774971,Friday,sí,1.622222977,6.168,55304,19.64,3.35,81.99
Taylor Swift,Style,231000,0,2014,77,0.588,0.791,7,-5.595,1,0.0402,0.00245,0.00258,0.118,0.487,94.933,0,0,0,0,0,0,0,0,0,1,0,0,2014-10-27,120903886,Monday,sí,1.622222977,6.168,55304,19.64,3.35,81.99
Alessia Cara,Here,199453,0,2015,0,0.379,0.799,0,-4.031,1,0.163,0.0804,0.0,0.0793,0.359,120.892,0,0,0,0,0,0,0,0,0,1,0,0,1969-09-26,11810634,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Sam Smith,"Writing's On The Wall - From ""Spectre"" Soundtrack",278987,0,2015,66,0.261,0.302,5,-8.19,0,0.0339,0.769,2.57e-06,0.0863,0.0883,81.418,0,0,0,0,0,0,0,0,0,1,0,0,2015-09-25,24151772,Friday,no,0.118627136,5.28,57040,19.75,3.54,81.45
David Guetta,Bang My Head (feat. Sia & Fetty Wap),193333,0,2015,47,0.599,0.869,0,-3.697,1,0.0789,0.0525,0.00719,0.103,0.593,108.061,0,0,0,0,0,0,1,0,0,0,0,0,2015-11-27,26131627,Friday,sí,0.118627136,5.28,57040,19.75,3.54,81.45
Meek Mill,All Eyes on You (feat. Chris Brown & Nicki Minaj),223973,1,2015,68,0.589,0.658,11,-5.288,0,0.203,0.0242,0.0,0.118,0.251,77.521,0,0,0,0,0,0,1,0,0,0,0,0,2015-06-29,7938312,Monday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Big Sean,I Don't Fuck With You,284386,1,2015,75,0.824,0.733,1,-5.474,1,0.0613,0.0362,0.0,0.325,0.395,97.972,0,0,0,0,0,0,1,0,0,0,0,0,2015-02-23,11199114,Monday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Kygo,Firestone,271640,0,2016,76,0.704,0.634,11,-7.374,0,0.0428,0.393,3.17e-05,0.0952,0.411,113.927,0,0,0,0,0,0,0,0,0,1,0,0,2016-05-13,8432584,Friday,no,1.261583206,4.869,58207,18.67,1.06,81.79
Drake,Jumpman,205879,1,2015,0,0.853,0.558,1,-7.448,1,0.202,0.0462,0.0,0.341,0.654,142.079,0,0,0,0,0,0,1,0,0,0,0,0,2015-09-20,91634236,Sunday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Petit Biscuit,Sunset Lover,237792,0,2015,71,0.783,0.467,6,-9.474,1,0.0503,0.729,0.809,0.109,0.236,90.838,1,0,0,0,0,0,0,0,0,0,0,0,2015-06-15,966628,Monday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Shawn Mendes,Stitches,206880,0,2015,78,0.746,0.754,1,-6.684,1,0.0676,0.0152,0.0,0.0486,0.746,149.882,0,0,0,0,0,0,0,0,0,1,0,0,2015-04-14,43165238,Tuesday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Flo Rida,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",224258,0,2015,67,0.854,0.766,9,-4.697,0,0.141,0.0242,0.0,0.0793,0.784,118.004,0,0,0,0,0,0,1,0,0,0,0,0,2015-04-07,8619692,Tuesday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Selena Gomez,The Heart Wants What It Wants,227373,0,2014,64,0.616,0.789,7,-4.874,0,0.0377,0.053,0.0,0.142,0.621,83.066,0,0,0,0,0,0,0,0,0,1,0,0,2014-01-01,50648388,Wednesday,no,1.622222977,6.168,55304,19.64,3.35,81.99
